Well,Cycle,Target Name,Rn
C1,15,gene,58774.24609
C1,16,gene,60625.1875
C1,17,gene,63562.14453
C1,18,gene,69073.51563
C1,19,gene,80446.10156
C1,20,gene,101096.7188
C1,21,gene,136718.625
C1,22,gene,194484.4375
C1,23,gene,271844.6563
C1,24,gene,334921.9375
C1,25,gene,363647.5938
C1,26,gene,392188.0313
C1,27,gene,418869.0313
C1,28,gene,439490.5625
C1,29,gene,455749.0313
C1,30,gene,469892.9688
C1,31,gene,480014.0938
C1,32,gene,488377.4375
C1,33,gene,495320.3438
C1,34,gene,501350.4688
C1,35,gene,506573.25
C1,36,gene,510224
C1,37,gene,514238.6563
C1,38,gene,518144.0938
C1,39,gene,519823.4688
C1,40,gene,522615.4688
C1,41,gene,524411.0625
C1,42,gene,525725
C1,43,gene,528740.5625
C1,44,gene,529034.875
C1,45,gene,530793.375
C2,1,gene,29346.82227
C2,2,gene,29164.39258
C2,3,gene,29337.16797
C2,4,gene,29793.35742
C2,5,gene,29988.04297
C2,6,gene,29896.10352
C2,7,gene,29693.66211
C2,8,gene,29832.70313
C2,9,gene,29844.26758
C2,10,gene,30083.10742
C2,11,gene,29977.86133
C2,12,gene,30259.61719
C2,13,gene,30812.80078
C2,14,gene,31130.96094
C2,15,gene,32301.86914
C2,16,gene,34650.08984
C2,17,gene,37920.16406
C2,18,gene,43838.15234
C2,19,gene,53733.71094
C2,20,gene,67770.79688
C2,21,gene,82316.21094
C2,22,gene,92652.60156
C2,23,gene,100794.9844
C2,24,gene,109851.6172
C2,25,gene,117515.1484
C2,26,gene,125061.0078
C2,27,gene,132231.0781
C2,28,gene,138212.375
C2,29,gene,143959.5469
C2,30,gene,147902.3906
C2,31,gene,152047.1563
C2,32,gene,155316.9531
C2,33,gene,158908.6875
C2,34,gene,160982.6406
C2,35,gene,163314.1406
C2,36,gene,165512.5313
C2,37,gene,167160.5625
C2,38,gene,169079.9063
C2,39,gene,170040.7656
C2,40,gene,171391.1875
C2,41,gene,172365.8281
C2,42,gene,173585.1875
C2,43,gene,174584.75
C2,44,gene,175540.6094
C2,45,gene,175839.6563
C3,1,gene,84813.03125
C3,2,gene,83415.61719
C3,3,gene,82712.70313
C3,4,gene,82060
C3,5,gene,81334.99219
C3,6,gene,81302.04688
C3,7,gene,80391.07031
C3,8,gene,80219.14844
C3,9,gene,80075.90625
C3,10,gene,79244.55469
C3,11,gene,79094.07031
C3,12,gene,79202.9375
C3,13,gene,79341.9375
C3,14,gene,79969.03125
C3,15,gene,81946.53125
C3,16,gene,85210.46094
C3,17,gene,91445.57031
C3,18,gene,103745.8672
C3,19,gene,125740.2109
C3,20,gene,163553.7813
C3,21,gene,219499.7344
C3,22,gene,279522.1875
C3,23,gene,312848.0938
C3,24,gene,340454.8125
C3,25,gene,365685.1875
C3,26,gene,387755.4375
C3,27,gene,406909.5938
C3,28,gene,420614.625
C3,29,gene,432575.8438
C3,30,gene,441630.4375
C3,31,gene,449427.7813
C3,32,gene,455368.9063
C3,33,gene,460745.4688
C3,34,gene,465506.8125
C3,35,gene,469031.0625
C3,36,gene,472673.8125
C3,37,gene,475245.1875
C3,38,gene,477568.25
C3,39,gene,479859.8125
C3,40,gene,481211.7813
C3,41,gene,483374.8125
C3,42,gene,484238.4688
C3,43,gene,485513.0313
C3,44,gene,486845.5625
C3,45,gene,487718.2188
C4,1,gene,58959.36719
C4,2,gene,58553.69531
C4,3,gene,58483.07422
C4,4,gene,58646.85938
C4,5,gene,58253.03906
C4,6,gene,58338.86719
C4,7,gene,57925.22266
C4,8,gene,58033.47656
C4,9,gene,58093.44531
C4,10,gene,57947.79297
C4,11,gene,58083.57031
C4,12,gene,58181.94922
C4,13,gene,57856.44141
C4,14,gene,58011.19922
C4,15,gene,58077.39063
C4,16,gene,58184.20703
C4,17,gene,58343.77344
C4,18,gene,59142.0625
C4,19,gene,60150.51563
C4,20,gene,62779.13281
C4,21,gene,67127.30469
C4,22,gene,75757.08594
C4,23,gene,90618.20313
C4,24,gene,117898.7344
C4,25,gene,165041.4531
C4,26,gene,233557.9844
C4,27,gene,299791.25
C4,28,gene,348614.6563
C4,29,gene,401149.9688
C4,30,gene,450599.5625
C4,31,gene,492610.875
C4,32,gene,527799.75
C4,33,gene,558980.875
C4,34,gene,584572.0625
C4,35,gene,606207
C4,36,gene,623289.125
C4,37,gene,639319.375
C4,38,gene,652322.3125
C4,39,gene,663135.25
C4,40,gene,673086.625
C4,41,gene,681467
C4,42,gene,689338.3125
C4,43,gene,696147.25
C4,44,gene,706082.6875
C4,45,gene,708068.3125
C5,1,gene,63668.86328
C5,2,gene,63318.78906
C5,3,gene,63365.62109
C5,4,gene,63440.30078
C5,5,gene,63348.60938
C5,6,gene,63088.86719
C5,7,gene,62995.19531
C5,8,gene,63219.32813
C5,9,gene,63617.75391
C5,10,gene,63429.62891
C5,11,gene,63317.41016
C5,12,gene,63071.87891
C5,13,gene,63085.59766
C5,14,gene,63865.97266
C5,15,gene,64014.03516
C5,16,gene,64459.34375
C5,17,gene,65722.79688
C5,18,gene,67810.8125
C5,19,gene,71381.03125
C5,20,gene,78129.30469
C5,21,gene,90551.65625
C5,22,gene,112964.8672
C5,23,gene,152515.3281
C5,24,gene,215099.0781
C5,25,gene,283605.5
C5,26,gene,337572.8125
C5,27,gene,394385.5313
C5,28,gene,450067
C5,29,gene,498990.1875
C5,30,gene,540161.3125
C5,31,gene,574686.9375
C5,32,gene,604113.1875
C5,33,gene,629636.0625
C5,34,gene,651062.8125
C5,35,gene,671850.0625
C5,36,gene,686687.3125
C5,37,gene,699674.0625
C5,38,gene,711964.4375
C5,39,gene,721798.75
C5,40,gene,730510.5625
C5,41,gene,738278
C5,42,gene,744740.875
C5,43,gene,752119.375
C5,44,gene,758502.3125
C5,45,gene,762346.8125
C6,1,gene,73932.30469
C6,2,gene,71485.78906
C6,3,gene,71187.96875
C6,4,gene,70731.78125
C6,5,gene,70459.64063
C6,6,gene,70328.74219
C6,7,gene,69733.21875
C6,8,gene,69644.38281
C6,9,gene,69696.78125
C6,10,gene,69205.04688
C6,11,gene,69290.79688
C6,12,gene,69259.52344
C6,13,gene,69001.78906
C6,14,gene,69429.99219
C6,15,gene,69707.80469
C6,16,gene,70512.38281
C6,17,gene,72589.21875
C6,18,gene,75538.74219
C6,19,gene,82320.6875
C6,20,gene,95083.20313
C6,21,gene,117985.2266
C6,22,gene,158346.875
C6,23,gene,223186.625
C6,24,gene,310992.9375
C6,25,gene,380112.0938
C6,26,gene,427719.5313
C6,27,gene,477408.4375
C6,28,gene,517000.4375
C6,29,gene,548372.5
C6,30,gene,572319.1875
C6,31,gene,592759.5
C6,32,gene,608756.25
C6,33,gene,621807.875
C6,34,gene,632773.0625
C6,35,gene,641435.625
C6,36,gene,648604.875
C6,37,gene,656178.4375
C6,38,gene,661637.625
C6,39,gene,665369.25
C6,40,gene,670461.125
C6,41,gene,673162.5
C6,42,gene,675212.5
C6,43,gene,679685.625
C6,44,gene,682333.75
C6,45,gene,684442.5625
D1,1,gene,47135.77734
D1,2,gene,47419.56641
D1,3,gene,47748.42969
D1,4,gene,48283.72266
D1,5,gene,47765.32422
D1,6,gene,47910.45313
D1,7,gene,48012.03516
D1,8,gene,47887.45313
D1,9,gene,48135.72656
D1,10,gene,48271.54688
D1,11,gene,48302.69141
D1,12,gene,48869.77344
D1,13,gene,48394.67188
D1,14,gene,48329.10547
D1,15,gene,48290.50391
D1,16,gene,47606.00781
D1,17,gene,47735.90234
D1,18,gene,48213.67188
D1,19,gene,48361.21875
D1,20,gene,47871.07031
D1,21,gene,47806.20313
D1,22,gene,48254.00391
D1,23,gene,48337.00391
D1,24,gene,47995.46875
D1,25,gene,47966.68359
D1,26,gene,48310.17969
D1,27,gene,48187.16406
D1,28,gene,47954.22266
D1,29,gene,48344.50781
D1,30,gene,48565.60156
D1,31,gene,48903.38281
D1,32,gene,49721.55859
D1,33,gene,51316.96094
D1,34,gene,54534.78516
D1,35,gene,60027.07813
D1,36,gene,70196.125
D1,37,gene,88889.39063
D1,38,gene,120781.9375
D1,39,gene,168343.0469
D1,40,gene,215202.6563
D1,41,gene,243396.4375
D1,42,gene,260998.1719
D1,43,gene,281347.0313
D1,44,gene,299762.1875
D1,45,gene,314021.9688
D2,1,gene,49880.00781
D2,2,gene,50182.18359
D2,3,gene,50026.80469
D2,4,gene,50206.52344
D2,5,gene,49997.18359
D2,6,gene,50143.37109
D2,7,gene,50522.53125
D2,8,gene,50215.67188
D2,9,gene,50418.56641
D2,10,gene,50454.39453
D2,11,gene,50449.86719
D2,12,gene,50169.70703
D2,13,gene,50357.24609
D2,14,gene,50472.25781
D2,15,gene,50447.75781
D2,16,gene,50598.28125
D2,17,gene,50331.02734
D2,18,gene,50807.64453
D2,19,gene,51106.34766
D2,20,gene,51861.90625
D2,21,gene,53780.50391
D2,22,gene,56530.49219
D2,23,gene,62082.92188
D2,24,gene,72476.97656
D2,25,gene,91340.3125
D2,26,gene,123965.1797
D2,27,gene,180007.75
D2,28,gene,255765
D2,29,gene,321058.2813
D2,30,gene,363322.125
D2,31,gene,407548.4688
D2,32,gene,444763.8438
D2,33,gene,477236.7813
D2,34,gene,503682.2813
D2,35,gene,524120.7188
D2,36,gene,540372
D2,37,gene,553681.1875
D2,38,gene,564984.375
D2,39,gene,574702.875
D2,40,gene,582748.125
D2,41,gene,589414.3125
D2,42,gene,595289.75
D2,43,gene,600422
D2,44,gene,604767.625
D2,45,gene,609707.8125
D3,1,,
D3,2,,
D3,3,,
D3,4,,
D3,5,,
D3,6,,
D3,7,,
D3,8,,
D3,9,,
D3,10,,
D3,11,,
D3,12,,
D3,13,,
D3,14,,
D3,15,,
D3,16,,
D3,17,,
D3,18,,
D3,19,,
D3,20,,
D3,21,,
D3,22,,
D3,23,,
D3,24,,
D3,25,,
D3,26,,
D3,27,,
D3,28,,
D3,29,,
D3,30,,
D3,31,,
D3,32,,
D3,33,,
D3,34,,
D3,35,,
D3,36,,
D3,37,,
D3,38,,
D3,39,,
D3,40,,
D3,41,,
D3,42,,
